realistic,investigative,artistic,social,enterprising,conventional,extraversion,agreeableness,conscientiousness,emotional_stability,openness,major
3.125,2.5,3.875,4.625,3.625,2.875,0,1,6,3,3,law
1.0,2.375,3.375,1.0,1.0,1.0,0,3,0,3,5,english
3.125,4.75,2.875,1.875,2.5,2.75,-2,2,3,-3,1,molecular biology
4.375,4.25,3.75,2.0,4.0,4.75,-3,2,0,-3,0,language
2.75,4.625,1.875,3.75,2.125,2.0,-4,5,-1,-1,1,epidemiology
1.0,4.0,1.625,2.875,1.5,1.0,0,6,5,1,-2,medical
1.0,1.75,1.375,3.625,1.125,1.125,-2,2,6,4,-4,sociology
2.625,1.375,2.5,3.0,2.875,1.375,0,0,0,0,0,designing
3.0,3.0,3.0,3.0,3.0,3.0,-1,0,-1,1,-1,psychology
1.0,1.625,2.25,3.5,2.0,1.125,4,4,5,5,2,counseling
1.5,2.625,2.5,2.5,3.0,2.375,3,1,2,0,3,business
2.5,2.625,2.75,3.75,3.75,2.375,1,0,2,4,2,human resource
1.75,4.125,1.25,1.125,1.25,2.125,-4,-2,2,4,0,computer science
2.625,2.0,3.375,3.75,3.5,2.5,4,1,-3,5,1,law
3.125,3.5,2.625,2.875,2.375,2.375,0,1,1,3,2,mechatronic engineer
1.25,1.25,1.375,2.125,3.25,3.875,-3,4,5,2,0,civil engineering
3.75,3.625,1.375,2.75,2.0,4.0,-2,4,6,0,3,electrical engineering
3.375,1.75,4.125,4.125,3.625,2.875,6,3,1,2,6,mechanical engineering
2.25,3.625,2.375,3.5,3.5,3.5,5,2,5,-1,-1,psychology
2.75,4.375,3.5,3.25,3.375,3.875,-1,2,3,1,1,natural science
1.5,1.25,1.25,2.25,1.0,1.0,0,0,6,0,3,english
2.875,3.125,3.625,2.75,4.0,4.125,4,4,2,6,6,computer science
2.5,2.125,3.75,3.625,2.75,4.0,0,-1,-2,-4,-2,psychology
1.875,3.0,3.375,3.5,3.5,1.5,1,0,3,0,5,translation
3.375,3.0,3.875,3.5,4.625,4.5,-3,3,-1,-2,2,business
2.5,3.625,4.75,4.75,4.25,4.25,6,3,4,5,6,psychology
1.125,3.75,2.125,1.125,2.5,1.375,2,-1,-4,-6,6,physics
1.25,4.625,1.25,5.0,1.875,1.5,1,6,3,6,3,biology  psychology
1.125,3.375,4.125,4.0,3.125,1.875,6,2,3,-2,4,psychology
1.625,2.125,1.25,3.625,2.125,2.75,3,1,3,3,1,psychology
2.75,2.375,3.25,3.5,3.125,2.625,3,2,4,1,3,marketing
